Utterance,Speaker,Emotion,Strategy
And that is why I got here early.,Client,disgust,undefined
Not...,Therapist,neutral,Approval
Not an easy experience.,Therapist,neutral,Approval
"No, it's bullshit.",Client,disgust,undefined
Now I gotta come and deal with this? I got you coming at me like this?,Client,disgust,undefined
That was the tip of the iceberg. My shitty week started on saturday.,Client,depression,undefined
Why? What happened on saturday?,Therapist,neutral,Restatement
"Okay, we're gonna pretend here. All right.",Client,disgust,undefined
We can pretend.,Client,disgust,undefined
You know what happened.,Client,disgust,undefined
Do I?,Therapist,neutral,Open question
I wish you would've warned me about Laura last week.,Client,depression,undefined
I wish you would've warned me about Laura last week.,Client,depression,undefined
It would have saved us both a lot of heartache.,Client,depression,undefined
"I slept with her, okay?",Client,depression,undefined
With Laura.,Client,depression,undefined
That's what happened on saturday.,Client,depression,undefined
But I'm sure you got a full play-by-play from her already.,Client,depression,undefined
Did she or did she not talk to you about it?,Client,disgust,undefined
I'm not at liberty to discuss my patients or their sessions.,Therapist,neutral,Structuring the therapy
Now what is that?,Client,disgust,undefined
"Code language for she did discuss it, but you won't tell me?",Client,disgust,undefined
"Alex, No.",Therapist,neutral,Structuring the therapy
It was pretty weird.,Client,depression,undefined
She called to ask me if I wanted to come over for dinner.,Client,depression,undefined
"No problem, right?",Client,depression,undefined
"So when I got to her place,",Client,depression,undefined
I looked at her.,Client,depression,undefined
I looked at how she was dressed. I looked at the table.,Client,depression,undefined
I looked at the wine. And...,Client,depression,undefined
I realized that dinner was obviously just a code name for sex.,Client,depression,undefined
This whole thing was like a ritual.,Client,depression,undefined
A ritual?,Therapist,neutral,Restatement
"Yeah, and all the rules.",Client,depression,undefined
"First, of course, there's the meal. She doesn't look like a cook, right?",Client,depression,undefined
But she made a big effort.,Client,depression,undefined
"For starters, she prepared her own sushi...",Client,depression,undefined
California rolls.,Client,depression,undefined
They weren't that great actually.,Client,depression,undefined
It didn't taste good?,Therapist,neutral,Open question
It was just for show. Don't you get it?,Client,depression,undefined
"That's the problem nowadays, everything's for show.",Client,disgust,undefined
"If you wanna make sushi, take a fucking course.",Client,disgust,undefined
Go to a real japanese grocery.,Client,disgust,undefined
Don't make it with uncle Ben's rice and imitation crabmeat.,Client,disgust,undefined
Come on.,Therapist,neutral,Communication Skills
Did you say anything to her?,Therapist,neutral,Open question
"Of course not, no.",Client,depression,undefined
The dinner was just a lead up to us getting in bed.,Client,depression,undefined
I told you that.,Client,depression,undefined
It didn't really matter.,Client,depression,undefined
So did you want to sleep with her?,Therapist,neutral,Open question
"Yeah, but...",Client,depression,undefined
it has nothing to do with wanting anything.,Client,depression,undefined
"It was all premeditated. It was like a mating ritual,",Client,depression,undefined
"like the masai tribe in Tanzania, but for yuppies.",Client,depression,undefined
"Anyway, so we got up from the table, we went to her bedroom and had sex.",Client,depression,undefined
And that's what happened on saturday.,Client,depression,undefined
It's interesting that you tell me so much about this,Therapist,neutral,Interpretation
"ritual of you going to bed together, but...",Therapist,neutral,Interpretation
nothing about what happened between you.,Therapist,neutral,Interpretation
"I'm sure that you've had lousy sushi before, but...",Therapist,neutral,Interpretation
I don't think you've been with another woman for a long time.,Therapist,neutral,Interpretation
Isn't that correct?,Therapist,neutral,Open question
But you know what happened.,Client,depression,undefined
So why do you have to hear it from me?,Client,depression,undefined
But you know what happened.,Client,depression,undefined
So why do you have to hear it from me?,Client,depression,undefined
It's interesting that you tell me so much about this,Therapist,neutral,Interpretation
"ritual of you going to bed together, but...",Therapist,neutral,Interpretation
nothing about what happened between you.,Therapist,neutral,Interpretation
"I'm sure that you've had lousy sushi before, but...",Therapist,neutral,Interpretation
I don't think you've been with another woman for a long time.,Therapist,neutral,Interpretation
Isn't that correct?,Therapist,neutral,Open question
But you know what happened.,Client,depression,undefined
So why do you have to hear it from me?,Client,depression,undefined
You're very preoccupied with who knows what and who said what.,Therapist,neutral,Interpretation
"What's important is how you felt about it,",Therapist,neutral,Open question
how the experience was for you.,Therapist,neutral,Open question
The sex?,Client,depression,undefined
The sex is all that anyone wants to talk about.,Client,depression,undefined
But is it really as important as you people make it out to be?,Client,depression,undefined
"Well, you tell me.",Therapist,neutral,Communication Skills
I know that's what it says in all your textbooks. I know that.,Client,depression,undefined
"But I ask myself, Is it really the key to everything?",Client,depression,undefined
Or is it just the simplest answer?,Client,depression,undefined
"but you're the one who started the story by saying that the sex was the issue,",Therapist,neutral,Interpretation
that all the rest was just... foreplay.,Therapist,neutral,Interpretation
"Okay, I'll tell you what happened.",Client,neutral,undefined
"Otherwise you won't feel like you're doing your job, right?",Client,neutral,undefined
"But before I start,",Client,neutral,undefined
there's something I've gotta know.,Client,neutral,undefined
Did you ever jerk off to anything a patient told you?,Client,joy,undefined
What?,Therapist,neutral,Open question
Come on.,Client,joy,undefined
"Come on, you must hear some crazy stories from women...",Client,joy,undefined
"Explicit shit, fantasies.",Client,joy,undefined
Did you ever jerk off afterwards?,Client,joy,undefined
Are you concerned that I'll masturbate to something that you tell me?,Therapist,neutral,Restatement
Me? No.,Client,neutral,undefined
I'm talking about you've got women they sit here on your couch.,Client,neutral,undefined
They tell you all about fucking.,Client,neutral,undefined
It must get to you sometimes. I know it would get to me.,Client,joy,undefined
Do you masturbate?,Therapist,neutral,Open question
"There you go again, you're answering a question with a question.",Client,neutral,undefined
"All right, i'll answer with an answer.",Therapist,neutral,Self-disclosure
I'm a human being. I masturbate sometimes.,Therapist,neutral,Self-disclosure
"My fantasies are about many many things,",Therapist,neutral,Self-disclosure
all sorts of women. Is that what you wanted to hear?,Therapist,neutral,Open question
That in that regard i'm not that substantially different from you?,Therapist,neutral,Open question
That's the first time you've ever answered one of my questions.,Client,neutral,undefined
"In any case, you won't masturbate to me and Laura's story.",Client,depression,undefined
I guarantee you that.,Client,depression,undefined
You may think of it the next time you're having sex with your wife,Client,depression,undefined
and you're trying not to come.,Client,depression,undefined
It must have been a very...,Therapist,neutral,Approval
"complex experience for you,",Therapist,neutral,Approval
being with...,Therapist,neutral,Approval
Being with another woman after all this time.,Therapist,neutral,Approval
"Complex, right.",Client,joy,undefined
I gave a shitty performance.,Client,joy,undefined
"I made every possible mistake. I was a mess,",Client,joy,undefined
to tell you the truth.,Client,joy,undefined
"During dinner, before we had sex,",Client,depression,undefined
I started thinking about my first date with my wife Michaela,Client,depression,undefined
about 15 years ago.,Client,depression,undefined
Jesus.,Client,depression,undefined
"We had gone out to this bar together, at the time she was the liberal type.",Client,depression,undefined
She'd talk openly about everything...,Client,depression,undefined
"Foreplay, favorite positions, cuddling afterwards...",Client,depression,undefined
cosmo type bullshit.,Client,depression,undefined
"And among other things, she told me that researchers found that wine",Client,depression,undefined
arouses women sexually and represses men's sexual desires.,Client,depression,undefined
Have you ever heard that?,Client,depression,undefined
emhua...,Therapist,neutral,Communication Skills
"I don't know what made me do it, but at one point",Client,neutral,undefined
"during my conversation with laura,",Client,neutral,undefined
we hit one of those deadly silences.,Client,neutral,undefined
I suddenly told her that,Client,depression,undefined
"alcohol sexually represses men,",Client,depression,undefined
"while women, it...",Client,depression,undefined
"And she... of course, she didn't respond.",Client,depression,undefined
"She just gave me one of those looks saying, Why are you telling me this?",Client,depression,undefined
Why did you tell her?,Therapist,neutral,Open question
I don't know.,Client,neutral,undefined
Maybe it was a way to...,Client,neutral,undefined
"move the conversation in a sexual direction, make things go forward.",Client,neutral,undefined
A kind of signal that she had been cleared to attack.,Client,neutral,undefined
Is that what you wanted? For her to... attack?,Therapist,neutral,Restatement
Do you think that she understood the signal?,Therapist,neutral,Open question
Yeah.,Client,neutral,undefined
Is there another way of getting it?,Client,neutral,undefined
It might have sounded like,Therapist,neutral,Interpretation
an apology in advance that you didn't have any...,Therapist,neutral,Interpretation
real sexual...,Therapist,neutral,Interpretation
desire for her.,Therapist,neutral,Interpretation
I don't think so. She wasn't even too fazed by it.,Client,depression,undefined
"She just changed the subject right away,",Client,disgust,undefined
"like I had said something nasty,",Client,disgust,undefined
something inappropriate at the table with all that sushi.,Client,disgust,undefined
And that's what pissed me off.,Client,disgust,undefined
Like all her faggy doctor friends,Client,disgust,undefined
she hangs out with always say exactly the right thing.,Client,disgust,undefined
"So listen, the first chance I got, I looked her right in the eye and I said",Client,depression,undefined
"Baby, I have to go to the bathroom.",Client,depression,undefined
I'm a bit nervous. It's my first time,Client,depression,undefined
since I left my wife.,Client,depression,undefined
"This time she could barely squeeze out a smile,",Client,depression,undefined
"even a phony one. And from then on, every few minutes, i'd mention my wife",Client,depression,undefined
and the separation... Even in bed.,Client,depression,undefined
I did it every chance I got just to see her squirm.,Client,disgust,undefined
I think I got her completely out of the mood.,Client,disgust,undefined
She was totally turned off.,Client,disgust,undefined
We had sex.,Client,disgust,undefined
It was more like two animals mating.,Client,disgust,undefined
I wasn't that hard and I came pretty fast.,Client,disgust,undefined
Even on the way to the shower I threw in another,Client,disgust,undefined
"I'm sorry, it was my first time in so many years, just for dessert.",Client,disgust,undefined
I don't know why I kept saying it.,Client,depression,undefined
Were you thinking about your wife?,Therapist,neutral,Open question
No.,Client,depression,undefined
Or feeling guilty maybe?,Therapist,neutral,Open question
"No, why would i?",Client,depression,undefined
"Well, because any of those reactions would have been natural, Alex.",Therapist,neutral,Interpretation
We haven't talked about your...,Therapist,neutral,Guiding the Pace and Depth of the Conversation
"Your separation, how you feel about it.",Therapist,neutral,Guiding the Pace and Depth of the Conversation
"No, that's not what this is about.",Client,neutral,undefined
The separation was the right thing to do.,Client,neutral,undefined
I haven't even looked back on that. Don't you get off topic.,Client,neutral,undefined
What is the topic?,Therapist,neutral,Open question
"Do our stories match, me and laura's? That's what I want to know.",Client,depression,undefined
"Look, on the one hand, you describe this feeling of...",Therapist,neutral,Interpretation
"helplessness, weakness,",Therapist,neutral,Interpretation
as if you were dragged into sex against your will.,Therapist,neutral,Interpretation
"You feel that you didn't perform too well,",Therapist,neutral,Interpretation
so you felt...,Therapist,neutral,Interpretation
Somewhat humiliated.,Therapist,neutral,Interpretation
Then to gain back,Therapist,neutral,Interpretation
"some strength and control,",Therapist,neutral,Interpretation
you make these references to your wife...,Therapist,neutral,Interpretation
in order to belittle Laura.,Therapist,neutral,Interpretation
Belittle her?,Client,depression,undefined
You really make some pretty far-out connections.,Client,depression,undefined
She belittled me. Her whole attitude is...,Client,disgust,undefined
It's patronizing.,Client,disgust,undefined
You're sure?,Therapist,neutral,Restatement
"You're the one who suddenly felt weak, so you attacked.",Therapist,neutral,Interpretation
You wanted to regain control.,Therapist,neutral,Interpretation
It reminds me of the beginning of our session when you came in here.,Therapist,neutral,Self-disclosure
You were vulnerable from what happened at the base.,Therapist,neutral,Self-disclosure
You give me the envelope from Laura,Therapist,neutral,Self-disclosure
"and then you throw your money on the table,",Therapist,neutral,Self-disclosure
"as if you wanted to humiliate me, to make me feel small.",Therapist,neutral,Self-disclosure
How's your machine?,Client,neutral,undefined
It's good. Thank you.,Therapist,neutral,Communication Skills
Are the clients happy?,Client,neutral,undefined
"I'm gonna make me some coffee, by the way, if you want some.",Client,neutral,undefined
If you've decided to stop being a tea man.,Client,neutral,undefined
"Alex, can we get back to this, please?",Therapist,neutral,Guiding the Pace and Depth of the Conversation
We're onto something here and I don't want to lose track.,Therapist,neutral,Guiding the Pace and Depth of the Conversation
"Just give me a second here, okay?",Client,neutral,undefined
I realize we're onto something. I just need a break.,Client,anger,undefined
Respect that.,Client,anger,undefined
I want you to tell me something...,Client,depression,undefined
Honestly.,Client,depression,undefined
Do you really think you can help me?,Client,depression,undefined
If we sit here and we talk about fucking a few times...,Client,depression,undefined
You'll be able to solve all my problems?,Client,depression,undefined
I don't have the answer to that question.,Therapist,neutral,Self-disclosure
"Yeah, I knew you'd say that.",Client,neutral,undefined
"You know, that's what kills me about you people.",Client,depression,undefined
Cause any other professional...,Client,depression,undefined
"I go to a doctor, he takes a look and he says, This is what you got.",Client,depression,undefined
This is how long you have to live.,Client,depression,undefined
"If I went to a mechanic, he'd say,",Client,depression,undefined
"$2,000, it'll be good as new.",Client,depression,undefined
"But you people, you don't guarantee shit.",Client,disgust,undefined
Can I tell you a story?,Therapist,neutral,Guiding the Pace and Depth of the Conversation
What kind of story?,Client,depression,undefined
It's a jewish parable that a friend of mine told me.,Therapist,neutral,Interpretation
"These two friends are condemned to death, but the king...",Therapist,neutral,Interpretation
He liked them and he didn't want to kill them.,Therapist,neutral,Interpretation
"So instead, he tied...",Therapist,neutral,Interpretation
"a thin rope across this abyss,",Therapist,neutral,Interpretation
and he told them both to walk over the rope.,Therapist,neutral,Interpretation
Whoever made it to the other side would be allowed to live.,Therapist,neutral,Interpretation
"So the first one walked over the rope,",Therapist,neutral,Interpretation
and he makes it safely to the other side.,Therapist,neutral,Interpretation
"And after he made it, his friend yells out to him,",Therapist,neutral,Interpretation
How did you do it?,Therapist,neutral,Interpretation
"And the other guy answered,",Therapist,neutral,Interpretation
I have no idea.,Therapist,neutral,Interpretation
All I know is that...,Therapist,neutral,Interpretation
whenever my weight pulled me to one side...,Therapist,neutral,Interpretation
I leaned to the other.,Therapist,neutral,Interpretation
It ain't exactly <i>Lord of the Rings</i>.,Client,neutral,undefined
True.,Therapist,neutral,Communication Skills
So what does it mean?,Client,neutral,undefined
That you have to maintain balance in your life?,Client,neutral,undefined
I think what it means is,Therapist,neutral,Self-disclosure
"that there are no simple ways of jumping over an abyss,",Therapist,neutral,Self-disclosure
or ways that work for everyone.,Therapist,neutral,Self-disclosure
"I think what you're looking for, alex,",Therapist,neutral,Self-disclosure
"is a million-dollar magic trick, and I don't have that.",Therapist,neutral,Self-disclosure
I truly believe there is no simple way to jump across an abyss.,Therapist,neutral,Advisement
"Instead, we have to work in",Therapist,neutral,Advisement
small internal steps.,Therapist,neutral,Advisement
"The question is whether you want us,",Therapist,neutral,Advisement
"you and i, to engage in that process.",Therapist,neutral,Advisement
Eyes on your instruments.,Client,depression,undefined
What do you mean?,Therapist,neutral,Open question
It's one of the basic principles in aviation.,Client,depression,undefined
You ever heard of vertigo?,Client,depression,undefined
Sure.,Therapist,neutral,Communication Skills
When you go into vertigo your directional perception changes.,Client,depression,undefined
You're spatially disoriented.,Client,depression,undefined
You'd be flying at mach 2 nose down and think you're taking off.,Client,depression,undefined
So that's the first thing they teach you at pilot school.,Client,depression,undefined
"You go into vertigo, you look only at your aircraft's instruments.",Client,depression,undefined
Ignore your feelings completely.,Client,depression,undefined
Rely on your instruments. That's what the air controller tells you,Client,depression,undefined
"if he thinks you're freaking out, and that's what you're telling me now.",Client,depression,undefined
Eyes on your instruments.,Client,depression,undefined
So you want me to...,Client,depression,undefined
put myself into your hands. You wanna navigate me.,Client,depression,undefined
Rely on you.,Client,depression,undefined
"And on one hand, you're right. That's why I came in the first place.",Client,depression,undefined
But keeping my eyes on the instruments is what got me here.,Client,depression,undefined
What do you mean?,Therapist,neutral,Open question
"'Cause I kept my eyes on the instrument, I dropped that bomb",Client,depression,undefined
so accurately into that window.,Client,depression,undefined
I relied only on my commanders.,Client,depression,undefined
And I killed innocent people.,Client,depression,undefined
And now I'm supposed to rely on you.,Client,disgust,undefined
"Alex, I don't want you to rely on me.",Therapist,neutral,Interpretation
"I want you to rely on yourself, on your own feelings.",Therapist,neutral,Advisement
The most I can ever be to you is...,Therapist,neutral,Advisement
an air traffic controller who tells you to try to ignore,Therapist,neutral,Advisement
the expectations of everybody else.,Therapist,neutral,Advisement
It's the expectations that give you...,Therapist,neutral,Interpretation
That give you vertigo.,Therapist,neutral,Interpretation
"What's the first step,",Client,neutral,undefined
on the way to my new life?,Client,neutral,undefined
"Well, what...",Therapist,neutral,Open question
What would you like to do?,Therapist,neutral,Open question
I think I'll go fuck her again.,Client,neutral,undefined
"Yeah, I'll fuck her,",Client,neutral,undefined
well and proper this time. I'll fuck her slow and good.,Client,neutral,undefined
I'll take my time up into that...,Client,joy,undefined
"sweet, hot little pussy.",Client,joy,undefined
"I mean, what's the big deal?",Client,neutral,undefined
She thinks she's the belle of the ball. Fuck that.,Client,disgust,undefined
"She must be pretty miserable if she's coming to see you, right?",Client,disgust,undefined
"Don't assume that everybody who comes to see me is miserable, alex.",Therapist,neutral,Interpretation
"Look, doc, when I came to pick her up from here yesterday",Client,neutral,undefined
she was like a complete psychopath.,Client,neutral,undefined
"One minute she's hugging me, completely over the top",Client,neutral,undefined
like we're in some kind of movie.,Client,neutral,undefined
"The next minute, I close the car door, and she's like, Take me home.",Client,disgust,undefined
"I'm too tired to do anything today. I mean, what the fuck?",Client,disgust,undefined
She turned as cold as ice.,Client,disgust,undefined
She was two totally different people.,Client,disgust,undefined
Go figure what goes through her head.,Client,disgust,undefined
Listen to what you're saying.,Therapist,neutral,Others
You're belittling her again.,Therapist,neutral,Others
"Hey, you don't think she belittles me?",Client,anger,undefined
You don't think I know she's completely and totally hung up on someone else?,Client,anger,undefined
Check this out.,Client,anger,undefined
"Saturday, after we had sex, she straddles my leg.",Client,anger,undefined
She starts rubbing up against me,Client,anger,undefined
as if i'm not even there.,Client,anger,undefined
It so obvious she's fantasizing about somebody else.,Client,anger,undefined
And then she starts crying.,Client,disgust,undefined
Tears and everything.,Client,disgust,undefined
"She's just crying, and I ask her, Laura, what's up?",Client,disgust,undefined
Everything okay?,Client,disgust,undefined
She doesn't even look at me.,Client,disgust,undefined
"She doesn't even answer me,",Client,disgust,undefined
like I'm just her dildo. So...,Client,disgust,undefined
"Don't tell me I belittle her, okay?",Client,anger,undefined
I know this is going to sound crazy after everything I just said...,Client,neutral,undefined
"But do you think we have a chance together, me and laura?",Client,joy,undefined
If we really work at it?,Client,joy,undefined
"I don't know, Alex.",Therapist,neutral,Self-disclosure
I couldn't even...,Therapist,neutral,Self-disclosure
I don't know that.,Therapist,neutral,Self-disclosure
I think it could happen.,Client,neutral,undefined
"I mean, like you said, doc, it's a long series of...",Client,neutral,undefined
"small steps, right?",Client,neutral,undefined
Yes it is.,Therapist,neutral,Communication Skills
"Well, our time is up for today.",Therapist,neutral,Structuring the therapy
Already?,Client,neutral,undefined
Why don't we continue next week,Therapist,neutral,Structuring the therapy
"where we left off today, okay?",Therapist,neutral,Structuring the therapy
Thanks.,Client,neutral,undefined
You're welcome.,Therapist,neutral,Communication Skills
Hello.,Therapist,neutral,Communication Skills
"Charmed, I'm sure.",Client,joy,undefined
It's the middle of the night for me.,Client,neutral,undefined
I'm utterly exhausted.,Client,neutral,undefined
I was at this amazing party last night.,Client,joy,undefined
It went on and on.,Client,neutral,undefined
I stayed awake all night and then I walked here.,Client,neutral,undefined
"No food, no sleep,",Client,neutral,undefined
I'm running on empty.,Client,neutral,undefined
I've never had so much to drink in my whole life.,Client,neutral,undefined
"There was this guy, this new guy--",Client,neutral,undefined
Total eye candy.,Client,neutral,undefined
He kept walking around with tequila shots.,Client,neutral,undefined
He kept making me drink them.,Client,joy,undefined
I must've had...,Client,joy,undefined
I don't know.,Client,joy,undefined
I've never been so wrecked in my whole life.,Client,joy,undefined
I have to take them off. Do you mind?,Client,neutral,undefined
Sure.,Therapist,neutral,Communication Skills
You've grown hands.,Therapist,neutral,Communication Skills
It's crazy how quickly a person gets used to things.,Client,neutral,undefined
"When I had the casts, it was like",Client,neutral,undefined
"they'd always been a part of me, you know?",Client,neutral,undefined
Like I'd been born a monster.,Client,neutral,undefined
"Now, two days after they're gone,",Client,neutral,undefined
"it's like, casts? What casts?",Client,neutral,undefined
Can't believe I bought them.,Client,neutral,undefined
"I buy shoes basically never, and when I do...",Client,neutral,undefined
"They make you want to vomit, don't they?",Client,neutral,undefined
It's your fault I bought them.,Client,neutral,undefined
Why?,Therapist,neutral,Open question
My mom took me shopping last week.,Client,neutral,undefined
I thought she was trying to be maternal or something.,Client,neutral,undefined
Turns out we were only there because you called her and told her,Client,neutral,undefined
I was gonna off myself.,Client,neutral,undefined
"That's not what I said, Sophie.",Therapist,neutral,Self-disclosure
"Yeah, whatever.",Client,neutral,undefined
"No, honestly, I never said that.",Therapist,neutral,Self-disclosure
I said whatever.,Client,neutral,undefined
Okay.,Therapist,neutral,Communication Skills
"Anyway, I picked out this jacket,",Client,depression,undefined
"this army thing that she, of course, hated.",Client,depression,undefined
Then as punishment she said that I had to buy something feminine.,Client,depression,undefined
She picked out those barbie shoes,Client,depression,undefined
while I pretended to retch on the makeup counter.,Client,depression,undefined
"If I had known you'd called her, I never would've gone shopping.",Client,depression,undefined
And then she wonders why I run off to the gym to be with her.,Client,depression,undefined
"I mean, to be without her.",Client,depression,undefined
To get the hell away from her.,Client,depression,undefined
For my last birthday she gave me a bra.,Client,disgust,undefined
A bra for my birthday?,Client,disgust,undefined
It's like getting coal.,Client,disgust,undefined
It's worse than getting coal. At least you can burn coal.,Client,disgust,undefined
It was one of those pushy-uppy wonder things with the clicky wheel.,Client,joy,undefined
You know?,Client,joy,undefined
"Half-bra, half-machine.",Client,neutral,undefined
She wants me to be some sort of a fucking cheerleader.,Client,neutral,undefined
You want to know why she really hates that I'm a gymnast?,Client,depression,undefined
Because of my boobs.,Client,depression,undefined
She thinks it will stunt my development.,Client,depression,undefined
Your boobs won't grow. You'll hate your body.,Client,depression,undefined
"You'll be deformed. That's all she cares about,",Client,depression,undefined
whether or not I grow a rack.,Client,depression,undefined
"So I won't have big boobs, who gives a flying fuck?",Client,disgust,undefined
"Must be pretty hard for you,",Therapist,neutral,Approval
trying to avoid your mom all the time.,Therapist,neutral,Approval
Just the opposite.,Client,neutral,undefined
I enjoy it.,Client,neutral,undefined
Really? Why?,Therapist,neutral,Open question
A few minutes ago you said you had to run off to the gym,Therapist,neutral,Restatement
in order to be with her.,Therapist,neutral,Restatement
"How extraordinary, Dr. Freud. Whatever do you think I meant?",Client,joy,undefined
Maybe it means that...,Client,depression,undefined
"no matter what I do, I can't get rid of her.",Client,depression,undefined
"Maybe it means that,",Therapist,neutral,Interpretation
in order to keep her interested in you...,Therapist,neutral,Interpretation
"You feel you have to,",Therapist,neutral,Interpretation
run away.,Therapist,neutral,Interpretation
That doesn't even make sense.,Client,neutral,undefined
You sound like a fortune cookie.,Client,neutral,undefined
Have you ever worn shoes like that before?,Therapist,neutral,Guiding the Pace and Depth of the Conversation
"Oh yeah, all the time. I mean, don't you?",Client,depression,undefined
This type of heel raises your butt and shapes your calf.,Client,joy,undefined
And that's essential.,Client,joy,undefined
"I highly recommend you pick up a pair, Paul.",Client,neutral,undefined
Must remember to do that.,Therapist,neutral,Approval
So why did you wear them last night?,Therapist,neutral,Open question
I don't know.,Client,neutral,undefined
Really? No idea?,Therapist,neutral,Open question
No?,Therapist,neutral,Open question
They remind me of Dorothy's shoes.,Therapist,neutral,Interpretation
Who's Dorothy?,Client,neutral,undefined
From The Wizard of Oz.,Therapist,neutral,Interpretation
You said Dorothy like she was a friend of yours.,Client,neutral,undefined
They're nothing like Dorothy's shoes.,Client,joy,undefined
Dorothy was cool. Her shoes were retro.,Client,joy,undefined
"Oh, no.",Client,neutral,undefined
What?,Therapist,neutral,Open question
"Please don't say, there's no place like home.",Client,disgust,undefined
"'cause if you do, I might have to puke all over your sofa.",Client,disgust,undefined
"No, at the end, I was going to say that Dorothy discovers",Therapist,neutral,Interpretation
that she can go home anytime she wants,Therapist,neutral,Interpretation
with or without her shoes.,Therapist,neutral,Interpretation
Why are you infantilizing me?,Client,anger,undefined
I apologize if--,Therapist,neutral,Self-disclosure
"If that's how it sounded, Sophie.",Therapist,neutral,Self-disclosure
I really didn't intend that.,Therapist,neutral,Self-disclosure
"So, have you taken your S.A.T.s yet?",Therapist,neutral,Guiding the Pace and Depth of the Conversation
Not yet.,Client,disgust,undefined
I have a feeling that you're going to do really well.,Therapist,neutral,Self-disclosure
I expect to.,Client,depression,undefined
"So,",Therapist,neutral,Restatement
"your mother bought you these shoes, you hate them and you still wore them.",Therapist,neutral,Restatement
Why?,Therapist,neutral,Open question
I'm at a total loss.,Client,disgust,undefined
"But, hey,",Client,disgust,undefined
"why don't you call up my mother and say, Hi, Sophie's mom,",Client,disgust,undefined
"Sophie wore those Barbie shoes you bought her,",Client,disgust,undefined
"went out to a bar, screwed half the U.S. olympic team",Client,disgust,undefined
and now she's gonna kill herself.,Client,disgust,undefined
Why'd you do it anyway?,Client,depression,undefined
Why'd you call her?,Client,depression,undefined
Because I was worried about you.,Therapist,neutral,Self-disclosure
Suddenly everyone's so worried about me.,Client,depression,undefined
Did you call Cy too?,Client,disgust,undefined
He's turned into my grandmother. He won't let me train.,Client,depression,undefined
He's making me do classes with the 10-year-olds.,Client,depression,undefined
It's ridiculous.,Client,depression,undefined
Now I remember what I wanted to tell you.,Client,joy,undefined
The most amazing thing happened at the gym the other day.,Client,joy,undefined
"Even though I haven't been training,",Client,joy,undefined
I've been absorbing stuff just by watching.,Client,neutral,undefined
'Cause I have this chronic problem,Client,neutral,undefined
with my toes going off the edge of the beam when I land a hard element.,Client,neutral,undefined
It's because I'm naturally knock-kneed.,Client,neutral,undefined
"My knees, they face inwards.",Client,neutral,undefined
So in order to get them facing straight,Client,neutral,undefined
"my feet have to point out,",Client,neutral,undefined
which is good for ballet but bad for gymnastics.,Client,neutral,undefined
Just a toe in the wrong position can lose you the event.,Client,neutral,undefined
I'm talking about medals here.,Client,neutral,undefined
"So anyway, i'm on the beam, right?",Client,neutral,undefined
"And I've been training at nighttime,",Client,neutral,undefined
even though my body doesn't want to yet.,Client,neutral,undefined
It was like...,Client,depression,undefined
When I was little and I used to starve myself,Client,depression,undefined
"and there would be this period,",Client,depression,undefined
"usually in the morning, where",Client,depression,undefined
I was really really hungry.,Client,depression,undefined
"You know, so hungry that I thought that my stomach might just start",Client,depression,undefined
eating the rest of me.,Client,depression,undefined
And then it would go away--,Client,neutral,undefined
Suddenly-- like turning off a light switch.,Client,neutral,undefined
And I felt like I was floating on clouds.,Client,joy,undefined
It was the same with the pain this time.,Client,neutral,undefined
"I pushed through it until it just let up,",Client,neutral,undefined
all of a sudden.,Client,neutral,undefined
And then I felt like I didn't have a body at all.,Client,neutral,undefined
Like I was just a pair of somersaulting eyes.,Client,joy,undefined
So yesterday I marched into the gym,Client,joy,undefined
and I got up on the beam.,Client,joy,undefined
Everyone was in shock and I felt this silence all around me.,Client,joy,undefined
"Sophie, be careful, please.",Therapist,neutral,Others
"Then something inside of me,",Client,joy,undefined
"some little voice said, prove it.",Client,joy,undefined
So I started the first element.,Client,joy,undefined
"Here, I'll show you.",Client,joy,undefined
"Sophie, please be careful.",Therapist,neutral,Others
This is dangerous.,Therapist,neutral,Others
"Don't have a cow, Paul. I'm fine.",Client,joy,undefined
"So anyway, I begin the first element.",Client,neutral,undefined
"When I look back at my feet, they were right on the beam.",Client,joy,undefined
"It's nothing major, but I took it as a sort of sign.",Client,joy,undefined
"Afterwards, everyone told me Cy was so shocked that he couldn't breathe.",Client,joy,undefined
"Well, I bet he was.",Therapist,neutral,Others
I did a backflip.,Client,joy,undefined
I landed perfectly.,Client,joy,undefined
That was incredible.,Therapist,joy,Approval
I just walked back to the bench like it was no big deal.,Client,joy,undefined
I could feel everybody's eyes on my back,Client,joy,undefined
I wanted to turn around and just...,Client,joy,undefined
And what?,Therapist,neutral,Open question
Nothing.,Client,joy,undefined
"No, come on, tell me.",Therapist,neutral,Communication Skills
I wanted to flip them the bird with both hands,Client,joy,undefined
like Fuck all of you and the fish you swam in on.,Client,joy,undefined
I thought it was the...,Therapist,neutral,Interpretation
The horse that you rode in on.,Therapist,neutral,Interpretation
Not in my book.,Client,neutral,undefined
In my book it's a fish.,Client,neutral,undefined
"What is it, Sophie?",Therapist,neutral,Open question
What's wrong?,Therapist,neutral,Open question
I don't feel well.,Client,depression,undefined
Do you want some water?,Therapist,neutral,Open question
Do you feel a pain?,Therapist,neutral,Open question
Wait a second.,Client,depression,undefined
"Just wait, it'll go away.",Client,depression,undefined
"Stop it, Sophie.",Client,sadness,undefined
